@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1130,'2018/02/16 17:41:56:096',12,157.255371,316.796021,50.454189,232.33667,322.147888,73.194435,297.190643,326.04071,77.148071,368.934204,326.612183,75.579811,440.408417,330.868164,69.261719,335.941895,320.947021,50.077206,0,0,0,0,0,0,0,0
1131,'2018/02/16 17:41:56:147',12,151.23851,317.59729,50.135334,224.989807,323.112488,72.982666,289.968018,326.928284,77.010307,362.004822,327.696167,75.497505,434.104767,331.923065,69.240128,330.236328,321.823883,49.983414,0,0,0,0,0,0,0,0
1132,'2018/02/16 17:41:56:196',12,146.849228,317.692749,49.659527,218.425659,323.549133,72.648811,283.30365,327.525696,76.767487,355.682373,328.162292,75.359924,428.425049,332.019867,69.216751,325.981049,322.097168,49.818314,0,0,0,0,0,0,0,0
1133,'2018/02/16 17:41:56:246',12,143.395416,317.589111,49.268787,212.878845,323.131836,72.383118,277.54483,327.119263,76.596252,350.039978,327.776428,75.291542,423.47522,331.677307,69.268517,322.531921,322.678009,49.708202,0,0,0,0,0,0,0,0
1134,'2018/02/16 17:41:56:296',12,139.598236,316.710205,48.981407,207.771866,322.686829,72.135376,272.349731,326.750183,76.390419,344.949707,327.241089,75.146713,418.804718,330.852112,69.19191,318.630615,322.138672,49.554588,0,0,0,0,0,0,0,0
1135,'2018/02/16 17:41:56:346',12,137.398071,316.346497,48.714985,203.342896,322.10321,71.929863,267.666626,326.286255,76.27787,340.261383,326.714783,75.140701,414.688416,330.622742,69.287308,316.226959,322.007446,49.508347,0,0,0,0,0,0,0,0
1136,'2018/02/16 17:41:56:397',12,134.958649,315.690735,48.396965,197.458786,320.884064,71.662048,261.389801,325.233154,76.157928,333.975525,325.891357,75.171799,409.233215,330.159302,69.482239,313.258362,321.977844,49.484119,0,0,0,0,0,0,0,0
1137,'2018/02/16 17:41:56:447',12,132.757904,315.093384,48.108032,191.379303,319.206726,71.346313,254.952881,323.929749,75.997833,327.577942,324.81546,75.179886,403.34375,329.183167,69.688126,310.075928,321.739197,49.44516,0,0,0,0,0,0,0,0
1138,'2018/02/16 17:41:56:497',12,130.292908,314.611877,47.88129,186.945435,318.547363,71.131386,250.331787,323.509247,75.858124,322.900208,324.596222,75.125488,398.821686,328.481567,69.757736,307.021667,321.190247,49.384781,0,0,0,0,0,0,0,0
1139,'2018/02/16 17:41:56:547',12,126.985809,313.598816,47.998699,184.288498,318.995209,71.193314,247.697159,324.32074,75.862823,320.160553,325.346375,75.099854,396.116394,329.261902,69.676102,303.571686,319.979309,49.391071,0,0,0,0,0,0,0,0
1140,'2018/02/16 17:41:56:597',12,127.471619,314.310333,48.043251,184.055298,319.632874,71.174278,247.302734,325.148499,75.869171,319.486267,326.170837,75.141266,395.832642,330.614807,69.736923,303.63147,320.369934,49.434978,0,0,0,0,0,0,0,0
1141,'2018/02/16 17:41:56:647',12,126.748779,315.215027,48.199871,183.490448,321.245544,71.336884,246.697678,326.820862,76.024536,318.76178,327.820862,75.307556,395.357788,332.461792,69.894897,302.832153,321.328766,49.61079,0,0,0,0,0,0,0,0
1142,'2018/02/16 17:41:56:697',12,126.714722,316.267578,48.181755,182.722092,322.509155,71.368248,245.799042,328.170166,76.088753,317.951111,329.463745,75.411598,395.194763,334.337708,70.02256,302.780518,322.382477,49.72068,0,0,0,0,0,0,0,0
1143,'2018/02/16 17:41:56:746',12,127.000366,317.282532,48.120209,182.425507,323.157837,71.345886,245.423248,328.703522,76.102997,317.566559,330.192078,75.459351,395.028381,334.799133,70.130211,302.93512,323.445496,49.762756,0,0,0,0,0,0,0,0
1144,'2018/02/16 17:41:56:796',12,127.713623,317.669556,48.101738,183.133987,323.703339,71.343575,246.135605,329.174255,76.10714,318.379333,330.806519,75.469421,395.781372,335.143677,70.156982,303.540619,323.784973,49.778591,0,0,0,0,0,0,0,0
1145,'2018/02/16 17:41:56:846',12,129.675598,317.061127,48.324226,187.002655,324.380371,71.437363,250.310013,330.033264,76.103424,322.455017,331.492432,75.378304,399.530151,335.566284,69.94796,305.520172,322.60376,49.736408,0,0,0,0,0,0,0,0
1146,'2018/02/16 17:41:56:896',12,136.0578,317.712158,48.395325,193.612915,323.759552,71.490501,256.937073,329.211487,76.174866,328.92749,330.68866,75.453903,406.391541,334.936798,70.02877,311.60144,323.450134,49.768429,0,0,0,0,0,0,0,0
1147,'2018/02/16 17:41:56:945',12,141.115417,317.28125,48.664314,200.551849,323.791321,71.664749,264.197052,329.335083,76.273018,336.159973,330.809418,75.472321,413.078735,335.128601,69.944824,316.61377,323.210266,49.801018,0,0,0,0,0,0,0,0
1148,'2018/02/16 17:41:56:996',12,148.183685,317.00708,49.125034,211.046036,324.116516,71.997414,275.17392,329.812317,76.45784,347.146088,331.359528,75.505402,423.188904,335.611725,69.796539,323.820618,322.605255,49.889713,0,0,0,0,0,0,0,0
1149,'2018/02/16 17:41:57:048',12,159.212906,317.870483,49.549114,225.15596,324.188324,72.35936,289.748901,329.535339,76.721771,361.670502,331.093384,75.642876,436.967255,335.723145,69.797485,335.016418,323.510803,50.041527,0,0,0,0,0,0,0,0
1150,'2018/02/16 17:41:57:096',12,169.422333,317.346802,50.061188,240.291748,324.454132,72.659157,305.55423,329.647827,76.818047,377.247375,331.246002,75.515366,451.521851,335.686432,69.426842,345.237885,323.267151,50.004169,0,0,0,0,0,0,0,0
1151,'2018/02/16 17:41:57:145',12,178.794067,316.572113,50.60083,255.427094,324.939941,72.93634,321.381104,330.057098,76.843208,392.82428,331.67926,75.277824,465.611023,335.786743,68.903229,354.842865,321.975769,49.924999,0,0,0,0,0,0,0,0
1152,'2018/02/16 17:41:57:195',12,191.059296,316.083832,51.014439,273.013306,324.766724,73.138039,339.580658,329.758423,76.82576,410.784729,331.480316,75.026733,481.944153,335.494354,68.413925,367.249023,321.486511,49.807758,0,0,0,0,0,0,0,0
1153,'2018/02/16 17:41:57:249',12,202.461044,315.864014,51.514366,289.833435,324.922241,73.357109,357.051819,329.828003,76.804482,427.8573,331.552734,74.75029,497.167145,334.765839,67.912224,378.542084,320.605133,49.713818,0,0,0,0,0,0,0,0
1154,'2018/02/16 17:41:57:295',12,214.546005,316.031372,51.960327,306.721313,325.378296,73.490707,374.63324,330.068237,76.723862,444.890839,331.744629,74.425758,512.343933,334.322052,67.381325,390.367981,319.662598,49.581799,0,0,0,0,0,0,0,0
1155,'2018/02/16 17:41:57:345',12,224.423996,316.417816,52.324211,319.972992,325.661438,73.611015,388.33255,330.166687,76.69014,458.117188,331.521637,74.235634,524.169922,334.14447,67.02758,399.857422,319.34375,49.512115,0,0,0,0,0,0,0,0
1156,'2018/02/16 17:41:57:396',12,235.186447,316.538208,52.84882,334.821259,326.002075,73.84375,403.45871,330.5065,76.733276,472.820007,331.244751,74.105606,537.131226,334.059143,66.695534,410.164673,318.905884,49.527397,0,0,0,0,0,0,0,0
1157,'2018/02/16 17:41:57:448',12,246.13382,316.818298,53.337097,349.33139,326.353149,74.087883,418.179382,330.553314,76.825813,487.179596,330.574707,74.04847,550.268188,333.006531,66.466644,420.729797,318.460449,49.592342,0,0,0,0,0,0,0,0
1158,'2018/02/16 17:41:57:495',12,255.697601,316.740173,53.778278,362.176727,325.689789,74.297699,431.236328,329.446014,76.892738,499.84964,328.880615,73.964157,562.089233,330.857941,66.212463,429.837708,317.45993,49.624748,0,0,0,0,0,0,0,0
1159,'2018/02/16 17:41:57:545',12,261.930725,316.173767,53.977375,370.666748,324.527435,74.375076,439.852905,327.8255,76.878754,508.237701,327.011475,73.838928,570.010742,328.51828,65.977921,435.91391,316.149597,49.583839,0,0,0,0,0,0,0,0
1160,'2018/02/16 17:41:57:595',12,266.613281,315.371277,54.082375,376.97821,322.922729,74.391083,446.298645,325.894287,76.822983,514.546875,324.93927,73.690536,575.752319,326.38147,65.746742,440.455017,314.840881,49.493706,0,0,0,0,0,0,0,0
1161,'2018/02/16 17:41:57:646',12,268.208466,315.027069,54.072857,379.190002,321.841492,74.364189,448.614471,324.67804,76.768295,516.764343,323.820435,73.593521,577.92334,325.232727,65.609848,442.077484,314.275574,49.41164,0,0,0,0,0,0,0,0
